season,team,conference,totalPPA,totalPassingPPA,totalReceivingPPA,totalRushingPPA,percentPPA,percentPassingPPA,percentReceivingPPA,percentRushingPPA,usage,passingUsage,receivingUsage,rushingUsage
2023,Air Force,Mountain West,121.7,12.9,11.3,97.5,0.358,0.295,0.148,0.444,0.267,0.032,0.339,0.292
2023,Akron,Mid-American,261.0,118.0,124.3,18.7,0.727,0.952,0.593,0.739,0.761,0.996,0.574,0.625
2023,Alabama,SEC,233.1,23.9,158.8,50.3,0.423,0.135,0.584,0.492,0.409,0.147,0.58,0.54
2023,App State,Sun Belt,208.3,11.6,134.2,62.6,0.474,0.089,0.721,0.508,0.392,0.028,0.723,0.468
2023,Arizona,Pac-12,472.7,174.5,222.4,75.8,0.846,0.995,0.72,1.013,0.924,0.996,0.752,0.99
2023,Arizona State,Pac-12,252.0,96.2,150.9,4.8,0.612,0.753,0.685,0.075,0.411,0.482,0.656,0.103
2023,Arkansas,SEC,273.0,132.3,55.1,85.6,0.581,0.904,0.233,0.983,0.777,0.914,0.267,0.928
2023,Arkansas State,Sun Belt,52.0,4.0,54.4,-6.5,0.179,0.045,0.269,5.909,0.221,0.028,0.351,0.361
2023,Army,FBS Independents,122.5,-0.6,52.1,71.0,0.5,-0.019,0.826,0.472,0.485,0.028,0.71,0.543
2023,Auburn,SEC,231.3,32.8,113.9,84.5,0.787,0.794,0.735,0.86,0.657,0.833,0.553,0.573
2023,Ball State,Mid-American,65.9,0.0,60.1,5.8,0.262,0.0,0.461,0.132,0.145,0.0,0.313,0.148
2023,Baylor,Big 12,255.6,89.3,111.1,55.2,0.645,0.755,0.615,0.565,0.691,0.937,0.561,0.578
2023,Boise State,Mountain West,395.3,117.7,156.7,120.9,0.921,0.935,0.849,1.021,0.857,0.751,0.875,0.924
2023,Boston College,ACC,121.9,54.1,88.9,-21.1,0.388,0.511,0.413,2.776,0.593,0.458,0.557,0.836
2023,Bowling Green,Mid-American,100.6,10.1,88.3,2.2,0.299,0.087,0.442,0.104,0.465,0.137,0.491,0.869
2023,Buffalo,Mid-American,196.2,104.8,59.0,32.5,0.575,0.876,0.317,0.915,0.791,0.99,0.307,0.926
2023,BYU,FBS Independents,139.1,12.9,126.7,-0.4,0.294,0.084,0.551,-0.004,0.225,0.017,0.505,0.211
2023,California,Pac-12,178.4,0.0,156.6,21.8,0.443,0.0,0.654,0.58,0.34,0.0,0.593,0.616
2023,Central Michigan,Mid-American,104.3,-4.6,36.6,72.3,0.358,-0.073,0.236,0.997,0.323,0.163,0.302,0.516
2023,Charlotte,Conference USA,59.0,4.1,37.4,17.5,0.144,0.035,0.155,0.33,0.222,0.041,0.186,0.503
2023,Cincinnati,American Athletic,27.6,-3.0,7.8,22.8,0.067,-0.024,0.033,0.429,0.261,0.178,0.048,0.537
2023,Clemson,ACC,238.4,31.4,124.0,83.1,0.551,0.296,0.577,0.741,0.505,0.219,0.621,0.704
2023,Coastal Carolina,Sun Belt,416.2,152.7,196.7,66.8,0.915,0.982,0.819,1.128,0.893,0.971,0.843,0.861
2023,Colorado,Pac-12,16.6,0.0,7.8,8.8,0.077,0.0,0.053,0.272,0.13,0.0,0.066,0.301
2023,Colorado State,Mountain West,159.2,28.8,114.1,16.2,0.92,1.0,0.756,-2.348,0.825,1.0,0.69,0.722
2023,Duke,ACC,428.1,113.9,184.1,130.1,0.989,1.0,0.972,1.005,0.991,1.0,0.987,0.986
2023,East Carolina,American Athletic,46.9,2.9,59.4,-15.5,0.088,0.016,0.202,-0.255,0.209,0.03,0.308,0.345
2023,Eastern Michigan,Mid-American,225.2,37.9,82.7,104.7,0.503,0.281,0.409,0.946,0.536,0.3,0.341,0.879
2023,Florida,SEC,155.7,10.0,100.9,44.8,0.367,0.087,0.513,0.401,0.438,0.074,0.574,0.659
2023,Florida Atlantic,Conference USA,162.8,21.5,102.3,39.0,0.446,0.169,0.524,0.913,0.442,0.024,0.624,0.681
2023,Florida International,Conference USA,186.9,87.5,71.0,28.4,0.68,0.889,0.478,0.993,0.78,0.948,0.625,0.722
2023,Florida State,ACC,411.4,153.5,135.7,122.2,0.785,0.96,0.624,0.832,0.792,0.99,0.577,0.78
2023,Fresno State,Mountain West,81.0,27.3,37.2,16.6,0.171,0.179,0.149,0.23,0.261,0.259,0.203,0.313
2023,Georgia,SEC,300.2,44.4,180.3,75.5,0.43,0.178,0.59,0.532,0.446,0.084,0.647,0.622
2023,Georgia Southern,Sun Belt,250.3,1.4,209.6,39.3,0.454,0.007,0.709,0.617,0.375,0.007,0.672,0.617
2023,Georgia State,Sun Belt,273.8,105.5,99.9,68.5,0.688,1.0,0.489,0.782,0.669,1.0,0.6,0.493
2023,Georgia Tech,ACC,69.9,15.4,36.8,17.7,0.366,0.86,0.27,0.473,0.382,0.439,0.324,0.36
2023,Hawai'i,Mountain West,172.4,48.1,80.5,43.7,0.627,0.92,0.541,0.595,0.67,0.995,0.422,0.487
2023,Houston,American Athletic,154.2,1.2,127.3,25.6,0.234,0.005,0.371,0.333,0.269,0.008,0.426,0.471
2023,Illinois,Big Ten,93.7,-0.7,98.5,-4.1,0.321,-0.007,0.612,-0.119,0.268,0.005,0.686,0.197
2023,Indiana,Big Ten,75.2,-15.1,61.6,28.8,0.358,-0.362,0.513,0.6,0.345,0.107,0.499,0.504
2023,Iowa,Big Ten,64.2,-1.7,80.1,-14.2,0.409,-0.068,0.524,0.673,0.426,0.065,0.481,0.759
2023,Iowa State,Big 12,224.7,106.0,123.7,-5.0,0.638,0.911,0.523,7.143,0.687,0.987,0.464,0.495
2023,James Madison,Sun Belt,47.7,-3.7,77.4,-25.9,0.109,-0.026,0.307,-0.654,0.321,0.134,0.348,0.451
2023,Kansas,Big 12,565.6,209.4,266.3,89.9,1.003,1.027,0.982,1.015,0.937,0.984,0.976,0.868
2023,Kansas State,Big 12,216.0,89.9,91.7,34.4,0.49,0.763,0.447,0.293,0.369,0.517,0.396,0.239
2023,Kent State,Mid-American,24.9,12.5,7.8,4.6,0.074,0.126,0.055,0.047,0.117,0.159,0.115,0.089
2023,Kentucky,SEC,150.0,-15.3,178.6,-13.3,0.481,-0.182,0.854,-0.7,0.417,0.201,0.858,0.318
2023,Liberty,FBS Independents,189.7,104.5,75.1,10.2,0.448,0.98,0.302,0.151,0.544,0.967,0.229,0.31
2023,Louisiana,Sun Belt,231.7,81.7,105.6,44.4,0.647,0.804,0.484,1.168,0.744,0.987,0.453,0.694
2023,Louisiana Tech,Conference USA,158.9,11.2,116.7,31.0,0.392,0.092,0.466,0.928,0.445,0.07,0.58,0.8
2023,Louisville,ACC,84.2,13.0,49.6,21.5,0.231,0.164,0.247,0.257,0.395,0.379,0.272,0.476
2023,LSU,SEC,519.9,163.4,206.6,149.9,0.845,0.983,0.694,0.993,0.888,0.987,0.681,0.95
2023,Marshall,Sun Belt,113.2,7.6,64.9,40.8,0.468,0.287,0.465,0.535,0.481,0.598,0.494,0.393
2023,Maryland,Big Ten,371.7,137.1,158.8,75.7,0.784,1.011,0.591,1.086,0.88,0.977,0.604,0.978
2023,Massachusetts,FBS Independents,56.8,-4.9,36.1,25.6,0.531,-1.96,0.471,0.905,0.678,0.858,0.518,0.629
2023,Memphis,American Athletic,242.3,125.3,72.3,44.8,0.523,0.9,0.274,0.743,0.71,0.971,0.26,0.773
2023,Miami,ACC,247.0,67.4,148.6,31.1,0.72,0.779,0.708,0.675,0.658,0.72,0.669,0.574
2023,Miami (OH),Mid-American,151.3,46.5,55.4,49.5,0.675,0.863,0.447,1.081,0.784,0.99,0.493,0.787
2023,Michigan,Big Ten,409.3,131.4,110.9,167.0,0.777,0.936,0.519,0.963,0.825,0.898,0.498,0.955
2023,Michigan State,Big Ten,70.3,15.8,65.7,-11.2,0.21,0.152,0.313,-0.536,0.254,0.052,0.311,0.453
2023,Middle Tennessee,Conference USA,130.6,3.4,113.8,13.4,0.337,0.029,0.463,0.609,0.315,0.099,0.328,0.589
2023,Minnesota,Big Ten,170.6,36.2,114.2,20.3,0.409,0.336,0.623,0.161,0.344,0.426,0.677,0.182
2023,Mississippi State,SEC,271.7,133.7,115.5,22.4,0.584,0.96,0.4,0.605,0.715,0.966,0.424,0.63
2023,Missouri,SEC,240.3,112.9,73.8,53.6,0.651,0.984,0.368,1.002,0.83,0.983,0.493,0.92
2023,Navy,American Athletic,100.8,20.6,37.7,42.4,0.611,0.68,0.568,0.624,0.751,0.884,0.341,0.779
2023,NC State,ACC,123.6,31.4,92.0,0.2,0.385,0.268,0.493,0.011,0.449,0.189,0.511,0.705
2023,Nebraska,Big Ten,49.8,-7.1,48.4,8.5,0.14,-0.063,0.249,0.179,0.403,0.142,0.293,0.729
2023,Nevada,Mountain West,38.1,-1.0,46.7,-7.7,0.225,-0.03,0.501,-0.185,0.333,0.425,0.457,0.129
2023,New Mexico,Mountain West,18.9,-18.8,28.4,9.3,0.305,0.726,0.436,0.419,0.395,0.246,0.599,0.429
2023,New Mexico State,FBS Independents,300.2,93.9,146.5,59.8,0.843,0.958,0.746,0.969,0.946,0.993,0.802,0.972
2023,North Carolina,ACC,478.5,212.7,184.6,81.3,0.776,0.971,0.59,0.952,0.873,0.984,0.622,0.991
2023,Northern Illinois,Mid-American,213.3,111.5,62.6,39.1,0.622,0.976,0.416,0.501,0.555,0.997,0.263,0.418
2023,North Texas,Conference USA,226.1,-0.3,146.1,80.3,0.416,-0.002,0.559,0.819,0.535,0.021,0.624,0.914
2023,Northwestern,Big Ten,160.2,68.5,85.4,6.4,0.657,0.958,0.485,-1.882,0.599,0.974,0.324,0.413
2023,Notre Dame,FBS Independents,127.7,10.7,86.2,30.8,0.345,0.118,0.419,0.418,0.324,0.011,0.344,0.535
2023,Ohio,Mid-American,491.8,189.0,238.4,64.4,0.921,1.0,0.85,0.998,0.935,1.0,0.86,0.924
2023,Ohio State,Big Ten,397.3,44.8,236.3,116.3,0.644,0.201,0.868,0.957,0.636,0.074,0.937,0.912
2023,Oklahoma,Big 12,201.7,88.8,82.2,30.6,0.527,0.895,0.42,0.348,0.675,0.974,0.414,0.592
2023,Oklahoma State,Big 12,103.5,24.9,82.5,-3.9,0.3,0.251,0.411,-0.088,0.335,0.293,0.374,0.349
2023,Old Dominion,Sun Belt,63.2,5.8,79.9,-22.5,0.211,0.066,0.387,-4.5,0.223,0.002,0.507,0.287
2023,Ole Miss,SEC,305.2,106.1,83.9,115.2,0.618,0.956,0.37,0.738,0.728,0.93,0.458,0.723
2023,Oregon,Pac-12,442.0,147.6,175.8,118.6,0.807,0.932,0.706,0.844,0.844,0.986,0.642,0.848
2023,Oregon State,Pac-12,244.5,60.3,106.5,77.6,0.527,0.465,0.508,0.624,0.624,0.615,0.463,0.708
2023,Penn State,Big Ten,186.0,16.2,103.7,66.1,0.428,0.118,0.465,0.884,0.489,0.152,0.499,0.807
2023,Pittsburgh,ACC,130.3,25.3,84.7,20.4,0.319,0.244,0.409,0.209,0.292,0.048,0.53,0.352
2023,Purdue,Big Ten,154.6,4.4,121.5,28.8,0.344,0.03,0.441,1.0,0.363,0.003,0.5,0.725
2023,Rice,Conference USA,162.5,22.1,100.6,39.9,0.425,0.195,0.497,0.605,0.464,0.312,0.546,0.553
2023,Rutgers,Big Ten,81.3,26.3,52.0,3.0,0.439,0.765,0.359,0.5,0.765,0.853,0.408,0.888
2023,San Diego State,Mountain West,235.7,102.9,94.1,38.8,0.78,1.07,0.509,1.865,0.611,0.755,0.463,0.574
2023,San José State,Mountain West,275.4,109.1,125.0,41.3,0.685,1.001,0.484,1.183,0.841,0.993,0.55,0.878
2023,SMU,American Athletic,253.0,51.6,140.7,60.7,0.417,0.253,0.431,0.806,0.413,0.148,0.467,0.665
2023,South Alabama,Sun Belt,405.1,163.5,178.3,63.3,0.856,0.985,0.727,1.019,0.856,0.998,0.716,0.816
2023,South Carolina,SEC,278.0,128.8,118.1,31.1,0.636,0.935,0.502,0.49,0.644,0.995,0.501,0.365
2023,Southern Miss,Sun Belt,213.8,42.7,127.5,43.5,0.634,0.435,0.605,1.521,0.651,0.601,0.607,0.727
2023,South Florida,American Athletic,163.1,52.1,49.5,61.5,0.463,0.699,0.321,0.497,0.446,0.643,0.248,0.401
2023,Stanford,Pac-12,144.1,12.1,94.2,37.9,0.392,0.133,0.395,0.984,0.382,0.038,0.481,0.787
2023,Syracuse,ACC,283.7,78.7,149.2,55.8,0.767,0.938,0.747,0.649,0.706,0.995,0.6,0.474
2023,TCU,Big 12,80.4,14.7,67.5,-1.8,0.144,0.084,0.259,-0.015,0.125,0.061,0.236,0.099
2023,Temple,American Athletic,277.4,153.4,137.9,-13.8,0.756,1.0,0.599,0.831,0.819,1.0,0.566,0.855
2023,Tennessee,SEC,271.4,58.2,128.5,84.7,0.422,0.271,0.456,0.578,0.508,0.203,0.501,0.793
2023,Texas,Big 12,266.7,96.2,159.3,11.1,0.61,0.71,0.858,0.096,0.561,0.722,0.822,0.19
2023,Texas A&M,SEC,196.3,44.6,140.8,10.9,0.648,0.559,0.794,0.239,0.516,0.536,0.698,0.326
2023,Texas State,Sun Belt,115.8,2.3,80.5,33.0,0.469,0.028,0.604,1.068,0.447,0.004,0.551,0.915
2023,Texas Tech,Big 12,337.1,38.4,220.7,78.0,0.764,0.521,0.897,0.646,0.65,0.592,0.838,0.568
2023,Toledo,Mid-American,351.3,136.0,138.0,77.2,0.789,1.0,0.605,0.951,0.91,1.0,0.641,0.996
2023,Troy,Sun Belt,234.3,92.5,115.3,26.5,0.561,0.765,0.44,0.766,0.674,0.843,0.545,0.586
2023,Tulane,American Athletic,311.3,138.8,111.2,61.3,0.59,0.917,0.47,0.437,0.635,0.993,0.399,0.479
2023,Tulsa,American Athletic,107.9,30.3,47.4,30.3,0.262,0.231,0.227,0.423,0.351,0.391,0.259,0.391
2023,UAB,Conference USA,178.0,23.2,109.1,45.8,0.395,0.21,0.565,0.311,0.44,0.314,0.611,0.443
2023,UCF,American Athletic,345.6,90.9,151.8,102.9,0.68,0.695,0.685,0.663,0.666,0.767,0.698,0.561
2023,UCLA,Pac-12,174.8,21.6,122.3,30.9,0.281,0.129,0.468,0.161,0.277,0.1,0.412,0.339
2023,UConn,FBS Independents,133.3,12.9,64.7,55.7,0.629,0.606,0.597,0.68,0.753,0.993,0.54,0.693
2023,UL Monroe,Sun Belt,89.6,6.2,88.6,-5.1,0.311,0.085,0.485,-0.155,0.123,0.003,0.419,0.049
2023,UNLV,Mountain West,166.0,81.4,52.4,32.2,0.624,1.059,0.408,0.529,0.621,0.925,0.458,0.426
2023,USC,Pac-12,599.9,248.9,266.2,84.8,0.742,0.925,0.666,0.605,0.764,0.987,0.59,0.648
2023,Utah,Pac-12,364.9,120.4,128.5,116.0,0.72,1.0,0.552,0.752,0.781,1.0,0.586,0.719
2023,Utah State,Mountain West,125.7,27.5,69.0,29.3,0.467,0.559,0.366,0.927,0.451,0.614,0.369,0.36
2023,UTEP,Conference USA,188.9,62.8,98.0,28.1,0.538,0.715,0.479,0.474,0.659,0.888,0.593,0.479
2023,UTSA,Conference USA,487.5,201.8,186.6,99.1,0.849,1.001,0.701,0.936,0.736,0.994,0.643,0.553
2023,Vanderbilt,SEC,139.7,44.5,104.9,-9.7,0.519,0.501,0.696,-0.328,0.618,0.628,0.796,0.427
2023,Virginia,ACC,31.6,2.9,39.7,-11.0,0.211,0.111,0.413,-0.393,0.302,0.003,0.324,0.647
2023,Virginia Tech,ACC,134.7,40.6,78.6,15.5,0.651,0.762,0.61,0.635,0.691,0.947,0.538,0.537
2023,Wake Forest,ACC,235.8,16.6,221.9,-2.7,0.412,0.075,0.657,-0.186,0.363,0.095,0.588,0.462
2023,Washington,Pac-12,610.9,256.9,287.6,66.4,0.887,1.004,0.925,0.544,0.851,0.995,0.857,0.625
2023,Washington State,Pac-12,231.9,67.2,99.6,65.0,0.581,0.805,0.402,0.97,0.828,0.987,0.448,0.973
2023,Western Kentucky,Conference USA,327.8,165.0,129.6,33.2,0.644,1.007,0.455,0.551,0.764,0.985,0.526,0.7
2023,Western Michigan,Mid-American,92.9,53.5,39.1,0.3,0.57,0.901,0.393,0.075,0.605,0.994,0.488,0.335
2023,West Virginia,Big 12,151.7,28.8,43.3,79.7,0.351,0.231,0.189,1.034,0.362,0.212,0.201,0.639
2023,Wisconsin,Big Ten,205.8,32.4,125.9,47.5,0.573,0.309,0.676,0.693,0.5,0.046,0.641,0.767
2023,Wyoming,Mountain West,172.3,22.0,87.0,63.3,0.739,0.894,0.674,0.797,0.643,0.997,0.515,0.449
