id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff
401013357,2018,1,regular,2018-08-25T21:30:00.000Z,False,True,False,False,8684.0,3985,Warren McGuirk Alumni Stadium,113,Massachusetts,fbs,FBS Independents,63,"[21, 14, 21, 7]",0.9984542422162311,,,2184,Duquesne,fcs,NEC,15,"[3, 6, 0, 6]",0.001545757783768864,,,0.2139101303,https://www.youtube.com/watch?v=uwMMvX-tU_U,,
401014972,2018,1,regular,2018-08-25T23:00:00.000Z,False,True,False,False,20050.0,3895,Rice Stadium,242,Rice,fbs,Conference USA,31,"[13, 6, 0, 12]",0.41611197976904707,,,2504,Prairie View A&M,fcs,SWAC,28,"[0, 21, 7, 0]",0.5838880202309529,,,5.6012773743,https://www.youtube.com/watch?v=z2VFteZqBBw,,
401030241,2018,1,regular,2018-08-25T23:00:00.000Z,False,True,True,False,,3689,Cramton Bowl,55,Jacksonville State,fcs,OVC,17,"[0, 3, 14, 0]",,,,2448,North Carolina A&T,fcs,MEAC,20,"[7, 0, 13, 0]",,,,,,GUARDIAN CREDIT UNION FCS KICKOFF,
401022510,2018,1,regular,2018-08-25T23:30:00.000Z,False,True,False,True,31007.0,5388,Canvas Stadium,36,Colorado State,fbs,Mountain West,34,"[7, 0, 13, 14]",0.3317397678892768,1529.0,1482.0,62,Hawai'i,fbs,Mountain West,43,"[10, 13, 14, 6]",0.6682602321107232,1217.0,1264.0,4.5649361931,https://www.youtube.com/watch?v=1FEy3ogBwpM,,
401013437,2018,1,regular,2018-08-26T02:00:00.000Z,False,True,False,False,20322.0,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,FBS Independents,7,"[0, 0, 0, 7]",0.00427210984632397,1339.0,1304.0,2751,Wyoming,fbs,Mountain West,29,"[9, 6, 7, 7]",0.995727890153676,1537.0,1572.0,2.7057118396,https://www.youtube.com/watch?v=S3V1Juvj160,,
401030567,2018,1,regular,2018-08-30T22:00:00.000Z,False,True,False,False,,3979,Wagner College Stadium,2681,Wagner,fcs,NEC,40,"[17, 14, 0, 9]",,,,2075,Bowie State,ii,CIAA,23,"[3, 10, 7, 3]",,,,,,,
401030159,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,False,,3909,Roy Stewart Stadium,93,Murray State,fcs,OVC,10,"[3, 7, 0, 0]",,,,79,Southern Illinois,fcs,MVFC,49,"[7, 21, 14, 7]",,,,,,,
401030234,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,False,,3908,Roy Kidd Stadium,2198,Eastern Kentucky,fcs,OVC,49,"[18, 0, 14, 17]",,,,2413,Morehead State,fcs,Pioneer,23,"[0, 7, 0, 16]",,,,,,,
401030248,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,False,,3720,Finley Stadium,236,Chattanooga,fcs,Southern,34,"[6, 7, 21, 0]",,,,2635,Tennessee Tech,fcs,OVC,10,"[0, 7, 3, 0]",,,,,,,
401029921,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,True,,3607,Alfond Stadium,311,Maine,fcs,CAA,35,"[0, 22, 7, 6]",,,,160,New Hampshire,fcs,CAA,7,"[0, 0, 0, 7]",,,,,,,
401029895,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,True,,3695,Delaware Stadium,48,Delaware,fcs,CAA,19,"[0, 10, 3, 6]",,,,227,Rhode Island,fcs,CAA,21,"[0, 7, 14, 0]",,,,,,,
401019470,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,True,23081.0,3892,Pratt & Whitney Stadium,41,UConn,fbs,American Athletic,17,"[0, 10, 0, 7]",0.004203463433869054,1241.0,1189.0,2116,UCF,fbs,American Athletic,56,"[14, 14, 14, 14]",0.995796536566131,1728.0,1780.0,0.830061928399999,https://www.youtube.com/watch?v=ZPI-FjeNw4A,,
401029968,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,False,,3629,Barker-Lane Stadium,2097,Campbell,fcs,Big South,49,"[7, 14, 21, 7]",,,,2804,Chowan,ii,CIAA,26,"[0, 0, 6, 20]",,,,,,,
401030097,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,False,,3829,Memorial Stadium,282,Indiana State,fcs,MVFC,49,"[14, 7, 14, 14]",,,,2825,Quincy,ii,Great Lakes,0,"[0, 0, 0, 0]",,,,,,,
401020671,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,False,9801.0,3919,Scheumann Stadium,2050,Ball State,fbs,Mid-American,42,"[7, 14, 14, 7]",0.9999720937904223,,,2115,Central Connecticut,fcs,NEC,6,"[0, 0, 0, 6]",2.7906209577710506e-05,,,0.760100617799999,,,
401021651,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,False,23088.0,4246,Center Parc Stadium,2247,Georgia State,fbs,Sun Belt,24,"[0, 14, 0, 10]",0.869590187971506,,,338,Kennesaw State,fcs,Big South,20,"[7, 7, 6, 0]",0.130409812028494,,,5.8512641491,https://www.youtube.com/watch?v=kUls9PpCkuc,,
401013328,2018,1,regular,2018-08-30T23:00:00.000Z,False,True,False,False,41291.0,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,48,"[7, 28, 3, 10]",0.9999638364577065,1499.0,1582.0,166,New Mexico State,fbs,FBS Independents,10,"[7, 3, 0, 0]",3.616354229352137e-05,1304.0,1221.0,3.06144440259999,https://www.youtube.com/watch?v=hpuPjxkqUWI,,
401030318,2018,1,regular,2018-08-30T23:30:00.000Z,False,True,False,False,,3925,Seibert Stadium,2535,Samford,fcs,Southern,66,"[17, 28, 7, 14]",,,,2560,Shorter,ii,Gulf South,9,"[0, 0, 2, 7]",,,,,,,
401030402,2018,1,regular,2018-08-30T23:30:00.000Z,False,True,False,False,,3605,Alerus Center,155,North Dakota,fcs,FCS Independents,35,"[14, 7, 7, 7]",,,,2400,Mississippi Valley State,fcs,SWAC,7,"[0, 7, 0, 0]",,,,,,,
401013342,2018,1,regular,2018-08-31T00:00:00.000Z,False,True,False,True,47410.0,3907,Ross-Ade Stadium,2509,Purdue,fbs,Big Ten,27,"[14, 3, 7, 3]",0.15206580002046932,1555.0,1557.0,77,Northwestern,fbs,Big Ten,31,"[14, 17, 0, 0]",0.8479341999795307,1691.0,1689.0,6.6741715963,https://www.youtube.com/watch?v=6zZEHpc246A,,
401013086,2018,1,regular,2018-08-31T00:00:00.000Z,False,True,False,False,15478.0,4729,Yulman Stadium,2655,Tulane,fbs,American Athletic,17,"[0, 0, 14, 3, 0]",0.2196613212325033,1390.0,1393.0,154,Wake Forest,fbs,ACC,23,"[0, 7, 3, 7, 6]",0.7803386787674967,1591.0,1588.0,9.7884823983,https://www.youtube.com/watch?v=9Pgaey84Fhw,,
401021655,2018,1,regular,2018-08-31T00:00:00.000Z,False,True,False,False,10137.0,3817,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,34,"[7, 9, 10, 8]",0.5720859305615573,,,2545,SE Louisiana,fcs,Southland,31,"[14, 7, 0, 10]",0.4279140694384427,,,8.4160129207,,,
401013489,2018,1,regular,2018-08-31T00:00:00.000Z,False,True,False,False,50103.0,3646,Boone Pickens Stadium,197,Oklahoma State,fbs,Big 12,58,"[17, 14, 14, 13]",0.9992698560515085,,,2623,Missouri State,fcs,MVFC,17,"[0, 7, 10, 0]",0.0007301439484914685,,,0.0663753880999998,https://www.youtube.com/watch?v=qi5_zqyEvDs,,
401012675,2018,1,regular,2018-08-31T00:00:00.000Z,False,True,False,False,45988.0,587,Rice-Eccles Stadium,254,Utah,fbs,Pac-12,41,"[7, 10, 14, 10]",0.9997998688829266,,,2692,Weber State,fcs,Big Sky,10,"[10, 0, 0, 0]",0.0002001311170733988,,,0.922426719,https://www.youtube.com/watch?v=tJjO6_6SP2s,,
401014979,2018,1,regular,2018-08-31T00:00:00.000Z,False,True,True,False,27124.0,3803,Legion Field,5,UAB,fbs,Conference USA,52,"[7, 21, 10, 14]",0.999997345694123,,,2542,Savannah State,fcs,MEAC,0,"[0, 0, 0, 0]",2.6543058769812333e-06,,,0.1406151783,https://www.youtube.com/watch?v=gKQoi3sPeic,,
401012258,2018,1,regular,2018-08-31T00:30:00.000Z,False,True,False,False,95855.0,3795,Kyle Field,245,Texas A&M,fbs,SEC,59,"[7, 28, 17, 7]",0.9999928023514462,,,2466,Northwestern State,fcs,Southland,7,"[0, 0, 0, 7]",7.197648553836089e-06,,,0.0327134787999997,https://www.youtube.com/watch?v=Vk-bY7sQ4u8,,
401030172,2018,1,regular,2018-08-31T01:00:00.000Z,False,True,False,False,,3643,Bobcat Stadium,147,Montana State,fcs,Big Sky,26,"[3, 3, 14, 6]",,,,2710,Western Illinois,fcs,MVFC,23,"[7, 6, 7, 3]",,,,,,,
401022511,2018,1,regular,2018-08-31T02:00:00.000Z,False,True,False,False,12675.0,3935,CEFCU Stadium,23,San José State,fbs,Mountain West,38,"[14, 7, 10, 7]",0.2255818432658651,,,302,UC Davis,fcs,Big Sky,44,"[14, 21, 2, 7]",0.7744181567341348,,,5.5811874724,,,
